Timestamp,Date,Time,BUSINESS TYPE,GROWTH RATE ,GROWTH RATE,CURRENT BOOKING METHOD ,BOOKING CHALLENGES,CUSTOMER TURN OUT,CUSTOMER RATING,RESULTING OUTCOME,REMINDER SYSTEM USED,STAFF SCHEDULING ISSUES,PEAK HOUR MANAGEMENT,PEAK HOUR RATING,PAYMENT TRACKING CHALLENGE,ADMIN COMPLIANCE COST ,CUSTOMER FEEDBACK PROCESS,TECH ADOPTION LEVEL ,DESIRED FEATURES,BUSINESS GROWTH GOALS ,WILLINGNESS TO USE APPOINTIFY,WILLINGNESS RATING,URGENCY LEVEL RATING,URGENCY  LEVEL OF NEED 
12/17/2025 8:32:37,12/17/2025,8:32:37,Outsourcing Firm,Moderate Growth,4,WhatsApp Messages,High NoShow Rate,Low,25%,Rescheduled,Manual SMS,Manual Scheduling Takes Too Long,Easy to Manage,5,Manual Entry Errors,11-15  hours per week,WhatsApp Feedback,Somewhat Ready,Customer History Records,Increase Monthly Revenue,Interested with Support,2,50%,Medium
12/17/2025 8:35:17,12/17/2025,8:35:17,Beauty Salon,Slow  Growth,1,WhatsApp Messages,Slow Response Time,Low,25%,Rescheduled,No Reminders Sent,Overlapping Staff Schedule,Moderate Difficulty,1,Unrecorded_Payments,2-5  hours per week,No Feedback,Somewhat Ready,Automated Reminders,Expand Service,Not Interested,0,0%,None
12/17/2025 8:35:35,12/17/2025,8:35:35,Photography Studio,Declining,1,Third Party Apps,Lack of Centralized System(No single place to manage all bookings),Very Low,10%,Missed appointments,Manual SMS,Staff Unavailable When Booked,Very Difficult,3,Difficulty Reconciling End of Day,6-10  hours per week,"Social Media Comments (Instagram, Facebook)",Fully Ready,Online Booking Page,Increase Customer Base,Interested with Support,2,100%,High
12/17/2025 8:39:09,12/17/2025,8:39:09,Event Planner,Moderate Growth,4,Instagram DMs,Double Bookings,Low,25%,Rescheduled,Email Reminders,Miscommunication About Shifts,Easy to Manage,5,Confusion On Multiple Payment Channels,Less than 2  hours per week,"Social Media Comments (Instagram, Facebook)",Ready with Guidance,Mobile Access,Increase Customer Base,Interested with Support,2,50%,Medium
12/17/2025 8:39:18,12/17/2025,8:39:18,Spa & Wellness Center,Slow  Growth,1,WhatsApp Messages,Slow Response Time,Medium,40%,Arrived Late,Manual WhatsApp Messages,Manual Scheduling Takes Too Long,Easy to Manage,5,Manual Entry Errors,2-5  hours per week,WhatsApp Feedback,Ready with Guidance,Service Catalog with Pricing,Improve Customer Retention,Very Interested,4,50%,Medium
12/17/2025 8:41:56,12/17/2025,8:41:56,Tutoring / Coaching Center,Moderate Growth,4,Phone  Calls,Unclear Availability,Medium,40%,Arrived Late,Manual SMS,Last Minute Staff Cancellations,Easy to Manage,5,Difficulty_Tracking_Debtors,Less than 2  hours per week,SMS Feedback,Ready with Guidance,Automated FollowUps,Increase Monthly Revenue,Very Interested,4,100%,High
12/17/2025 8:42:25,12/17/2025,8:42:25,General Trading,Moderate Growth,4,No Formal System,Lack of Centralized System(No single place to manage all bookings),Medium,40%,Arrived Late,No Reminders Sent,Understaffed During Peak Hours,Moderate Difficulty,1,No Centralized System,Less than 2  hours per week,WhatsApp Feedback,Ready with Guidance,Staff Schedule Manager,Enhance Customer Experience,Very Interested,4,100%,High
12/17/2025 8:43:14,12/17/2025,8:43:14,Plumbing Service,Slow  Growth,1,Phone  Calls,No Automated Reminders,Medium,40%,Arrived Late,Manual Phone Calls,No Centralized Schedule,Moderate Difficulty,1,Confusion On Multiple Payment Channels,6-10  hours per week,Email Feedback,Somewhat Ready,Automated Reminders,Increase Monthly Revenue,Somewhat Interested,1,50%,Medium
12/17/2025 8:44:50,12/17/2025,8:44:50,Carpenter service,Slow  Growth,1,WhatsApp Messages,Unclear Availability,Low,25%,Rescheduled,Manual WhatsApp Messages,No Centralized Schedule,Very Difficult,3,No Automated invoice,6-10  hours per week,Email Feedback,Somewhat Ready,Customer History Records,Expand Service,Interested with Support,2,100%,High
12/17/2025 8:45:47,12/17/2025,8:45:47,Beauty Salon,Moderate Growth,4,Phone  Calls,Unclear Availability,Low,25%,Rescheduled,Manual WhatsApp Messages,Understaffed During Peak Hours,Easy to Manage,5,Delayed Payment Confirmation,Less than 2  hours per week,No Feedback,Not Ready for Tech,Team Permissions and Roles,Streamline Operations,Not Interested,0,0%,None
